code_bassin;demandeurs_emploi;secteur_libelle
9320;188;Santé humaine et action sociale
9320;179;Hébergement et restauration
9320;137;Administration publique
9320;127;Industrie manufacturière
9320;100;Construction
9320;93;Activités spécialisées, scientifiques et techniques
9320;81;Activités de services administratifs et de soutien
9320;69;Autres activités de services
9320;49;Transports et entreposage
9320;27;Activités financières et d'assurance
9320;23;Enseignement
9320;19;Arts, spectacles et activités récréatives
9320;17;Agriculture, sylviculture et pêche
9320;15;Activités immobilières
9320;10;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9320;3;Information et communication
9320;1;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9316;615;Commerce -  réparation d'automobiles et de motocycles
9316;552;Hébergement et restauration
9316;358;Industrie manufacturière
9316;275;Construction
9316;270;Santé humaine et action sociale
9316;218;Activités spécialisées, scientifiques et techniques
9316;199;Activités de services administratifs et de soutien
9316;199;Transports et entreposage
9316;129;Autres activités de services
9316;84;Administration publique
9316;38;Agriculture, sylviculture et pêche
9316;37;Information et communication
9316;34;Arts, spectacles et activités récréatives
9316;34;Activités immobilières
9316;34;Activités financières et d'assurance
9316;22;Enseignement
9316;18;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9316;1;Industries extractives
9315;318;Commerce -  réparation d'automobiles et de motocycles
9315;215;Construction
9315;197;Hébergement et restauration
9315;171;Industrie manufacturière
9315;149;Santé humaine et action sociale
9315;133;Activités de services administratifs et de soutien
9315;93;Transports et entreposage
9315;88;Administration publique
9315;85;Activités spécialisées, scientifiques et techniques
9315;66;Autres activités de services
9315;36;Agriculture, sylviculture et pêche
9315;35;Activités immobilières
9315;29;Arts, spectacles et activités récréatives
9315;23;Activités financières et d'assurance
9315;19;Information et communication
9315;15;Enseignement
9315;11;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9315;7;Industries extractives
9315;2;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9314;446;Commerce -  réparation d'automobiles et de motocycles
9314;370;Hébergement et restauration
9314;235;Industrie manufacturière
9314;209;Santé humaine et action sociale
9314;206;Construction
9314;151;Activités de services administratifs et de soutien
9314;122;Transports et entreposage
9314;110;Activités spécialisées, scientifiques et techniques
9314;97;Autres activités de services
9314;80;Administration publique
9314;58;Agriculture, sylviculture et pêche
9314;45;Activités immobilières
9314;39;Activités financières et d'assurance
9314;28;Arts, spectacles et activités récréatives
9314;24;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9314;13;Information et communication
9314;6;Enseignement
9314;3;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9314;2;Activité inconnue
9313;1473;Commerce -  réparation d'automobiles et de motocycles
9313;1301;Hébergement et restauration
9313;688;Santé humaine et action sociale
9313;684;Transports et entreposage
9313;586;Industrie manufacturière
9313;566;Activités de services administratifs et de soutien
9313;549;Construction
9313;442;Activités spécialisées, scientifiques et techniques
9313;328;Activités immobilières
9313;263;Enseignement
9313;168;Autres activités de services
9313;137;Activités financières et d'assurance
9313;95;Arts, spectacles et activités récréatives
9313;93;Information et communication
9313;83;Administration publique
9313;22;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9313;19;Agriculture, sylviculture et pêche
9313;18;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9313;3;Industries extractives
9311;2725;Hébergement et restauration
9311;2534;Commerce -  réparation d'automobiles et de motocycles
9311;1959;Santé humaine et action sociale
9311;1395;Construction
9311;1250;Activités de services administratifs et de soutien
9311;974;Industrie manufacturière
9311;972;Activités spécialisées, scientifiques et techniques
9311;483;Autres activités de services
9311;450;Transports et entreposage
9311;357;Administration publique
9311;346;Enseignement
9311;292;Activités financières et d'assurance
9311;244;Arts, spectacles et activités récréatives
9311;244;Activités immobilières
9311;180;Information et communication
9311;128;Production et distribution d'eau -  assainissement, gestion des déchets et dépollution
9311;61;Agriculture, sylviculture et pêche
9311;16;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
9311;3;Industries extractives
9310;42;Industrie manufacturière
9310;13;Santé humaine et action sociale
9310;11;Construction
9310;11;Autres activités de services
9310;7;Activités spécialisées, scientifiques et techniques
9310;5;Commerce -  réparation d'automobiles et de motocycles
9310;4;Transports et entreposage
9310;4;Hébergement et restauration
9310;3;Activités financières et d'assurance
9310;2;Activités immobilières
9310;1;Arts, spectacles et activités récréatives
9309;2417;Commerce -  réparation d'automobiles et de motocycles
