annee;ROME;rome_label;cbassin;lib_bassin_bmo19;oee;defm_abc;ind_tension_d
2020;G1601;Management du personnel de cuisine;7649;AGDE-PEZENAS;14;2;5
2020;G1602;Personnel de cuisine;7649;AGDE-PEZENAS;143;158;4
2020;G1603;Personnel polyvalent en restauration;7649;AGDE-PEZENAS;140;2;1
2020;G1604;Fabrication de crêpes ou pizzas;7649;AGDE-PEZENAS;21;2;2
2020;G1605;Plonge en restauration;7649;AGDE-PEZENAS;49;66;1
2020;G1703;Réception en hôtellerie;7649;AGDE-PEZENAS;31;51;4
2020;G1801;Café, bar brasserie;7649;AGDE-PEZENAS;38;126;2
2020;G1803;Service en restauration;7649;AGDE-PEZENAS;171;167;3
2020;H2206;Réalisation de menuiserie bois et tonnellerie;7649;AGDE-PEZENAS;10;10;3
2020;I1203;Maintenance des bâtiments et des locaux;7649;AGDE-PEZENAS;45;80;1
2020;I1604;Mécanique automobile et entretien de véhicules;7649;AGDE-PEZENAS;30;3;5
2020;J1301;Personnel polyvalent des services hospitaliers;7649;AGDE-PEZENAS;1;45;1
2020;J1501;Soins d'hygiène, de confort du patient;7649;AGDE-PEZENAS;3;1;5
2020;K1207;Intervention socioéducative;7649;AGDE-PEZENAS;14;8;1
2020;K1301;Accompagnement médicosocial;7649;AGDE-PEZENAS;2;6;5
2020;K1302;Assistance auprès d'adultes;7649;AGDE-PEZENAS;8;3;5
2020;K1303;Assistance auprès d'enfants;7649;AGDE-PEZENAS;1;99;2
2020;K1304;Services domestiques;7649;AGDE-PEZENAS;4429;4;5
2020;K1801;Conseil en emploi et insertion socioprofessionnelle;7649;AGDE-PEZENAS;6;1;5
2020;K2204;Nettoyage de locaux;7649;AGDE-PEZENAS;91;1;2
2020;K2503;Sécurité et surveillance privées;7649;AGDE-PEZENAS;39;4;1
2020;M1203;Comptabilité;7649;AGDE-PEZENAS;15;1;1
2020;M1501;Assistanat en ressources humaines;7649;AGDE-PEZENAS;6;1;1
2020;M1601;Accueil et renseignements;7649;AGDE-PEZENAS;19;2;1
2020;M1605;Assistanat technique et administratif;7649;AGDE-PEZENAS;2;11;1
2020;M1607;Secrétariat;7649;AGDE-PEZENAS;24;12;1
2020;N1101;Conduite d'engins de déplacement des charges;7649;AGDE-PEZENAS;4;1;1
2020;N1103;Magasinage et préparation de commandes;7649;AGDE-PEZENAS;20;3;1
2020;N1105;Manutention manuelle de charges;7649;AGDE-PEZENAS;18;35;1
2020;N4101;Conduite de transport de marchandises sur longue distance;7649;AGDE-PEZENAS;7;4;5
2020;N4103;Conduite de transport en commun sur route;7649;AGDE-PEZENAS;41;28;5
2020;N4105;Conduite et livraison par tournées sur courte distance;7649;AGDE-PEZENAS;13;1;5
2020;A1101;Conduite d'engins agricoles et forestiers;7535;AGEN;1;1;5
2020;A1203;Entretien des espaces verts;7535;AGEN;11;1;3
2020;A1401;Aide agricole de production fruitière ou viticole;7535;AGEN;1;28;5
2020;A1402;Aide agricole de production légumière ou végétale;7535;AGEN;2;3;3
2020;A1405;Arboriculture et viticulture;7535;AGEN;20;14;5
2020;A1414;Horticulture et maraîchage;7535;AGEN;10;36;3
2020;A1416;Polyculture, élevage;7535;AGEN;23;106;5
2020;C1504;Transaction immobilière;7535;AGEN;8;2;5
2020;D1101;Boucherie;7535;AGEN;6;1;5
2020;D1102;Boulangerie - viennoiserie;7535;AGEN;12;1;5
2020;D1106;Vente en alimentation;7535;AGEN;29;28;4
2020;D1202;Coiffure;7535;AGEN;19;15;5
2020;D1208;Soins esthétiques et corporels;7535;AGEN;13;1;5
2020;D1211;Vente en articles de sport et loisirs;7535;AGEN;15;1;3
2020;D1212;Vente en décoration et équipement du foyer;7535;AGEN;28;35;5
2020;D1214;Vente en habillement et accessoires de la personne;7535;AGEN;14;101;2
2020;D1401;Assistanat commercial;7535;AGEN;30;2;4
2020;D1402;Relation commerciale grands comptes et entreprises;7535;AGEN;6;13;5
2020;D1403;Relation commerciale auprès de particuliers;7535;AGEN;10;3;4
2020;D1407;Relation technico-commerciale;7535;AGEN;14;1;5
2020;D1505;Personnel de caisse;7535;AGEN;18;41;1
2020;D1507;Mise en rayon libre-service;7535;AGEN;139;83;5
2020;F1104;Dessin BTP;7535;AGEN;11;1;5
2020;F1106;Ingénierie et études du BTP;7535;AGEN;7;4;5
2020;F1201;Conduite de travaux du BTP;7535;AGEN;5;1;5
2020;F1302;Conduite d'engins de terrassement et de carrière;7535;AGEN;7;13;4
2020;F1602;Électricité bâtiment;7535;AGEN;29;1;5
2020;F1603;Installation d'équipements sanitaires et thermiques;7535;AGEN;20;16;5
2020;F1604;Montage d'agencements;7535;AGEN;8;1;5
2020;F1605;Montage de réseaux électriques et télécoms;7535;AGEN;18;10;5
2020;F1606;Peinture en bâtiment;7535;AGEN;9;61;5
2020;F1607;Pose de fermetures menuisées;7535;AGEN;24;9;5
2020;F1701;Construction en béton;7535;AGEN;2;5;4
2020;F1702;Construction de routes et voies;7535;AGEN;12;1;4
2020;F1703;Maçonnerie;7535;AGEN;15;38;5
2020;F1704;Préparation du gros oeuvre et des travaux publics;7535;AGEN;15;47;2
